WV5.PANEL0,
Signal,
File,Signal,Hierarchy,Value,Unit,
D0:sram.sw1,v(qout2),,,V,
,
Signal->v(qout2),
X-axis,Value,
 6.080E-01, 1.219E+00,
 6.090E-01, 1.216E+00,
 6.100E-01, 1.214E+00,
 6.110E-01, 1.211E+00,
 6.120E-01, 1.209E+00,
 6.130E-01, 1.207E+00,
 6.140E-01, 1.204E+00,
 6.150E-01, 1.202E+00,
 6.160E-01, 1.199E+00,
 6.170E-01, 1.197E+00,
 6.180E-01, 1.195E+00,
 6.190E-01, 1.193E+00,
 6.200E-01, 1.191E+00,
 6.210E-01, 1.188E+00,
 6.220E-01, 1.186E+00,
 6.230E-01, 1.184E+00,
 6.240E-01, 1.182E+00,
 6.250E-01, 1.180E+00,
 6.260E-01, 1.178E+00,
 6.270E-01, 1.176E+00,
 6.280E-01, 1.174E+00,
 6.290E-01, 1.172E+00,
 6.300E-01, 1.170E+00,
 6.310E-01, 1.168E+00,
 6.320E-01, 1.166E+00,
 6.330E-01, 1.164E+00,
 6.340E-01, 1.162E+00,
 6.350E-01, 1.160E+00,
 6.360E-01, 1.158E+00,
 6.370E-01, 1.156E+00,
 6.380E-01, 1.155E+00,
 6.390E-01, 1.153E+00,
 6.400E-01, 1.151E+00,
 6.410E-01, 1.149E+00,
 6.420E-01, 1.147E+00,
 6.430E-01, 1.146E+00,
 6.440E-01, 1.144E+00,
 6.450E-01, 1.142E+00,
 6.460E-01, 1.140E+00,
 6.470E-01, 1.138E+00,
 6.480E-01, 1.137E+00,
 6.490E-01, 1.135E+00,
 6.500E-01, 1.133E+00,
 6.510E-01, 1.132E+00,
 6.520E-01, 1.130E+00,
 6.530E-01, 1.128E+00,
 6.540E-01, 1.126E+00,
 6.550E-01, 1.125E+00,
 6.560E-01, 1.123E+00,
 6.570E-01, 1.121E+00,
 6.580E-01, 1.120E+00,
 6.590E-01, 1.118E+00,
 6.600E-01, 1.116E+00,
 6.610E-01, 1.115E+00,
 6.620E-01, 1.113E+00,
 6.630E-01, 1.112E+00,
 6.640E-01, 1.110E+00,
 6.650E-01, 1.108E+00,
 6.660E-01, 1.107E+00,
 6.670E-01, 1.105E+00,
 6.680E-01, 1.104E+00,
 6.690E-01, 1.102E+00,
 6.700E-01, 1.100E+00,
 6.710E-01, 1.099E+00,
 6.720E-01, 1.097E+00,
 6.730E-01, 1.096E+00,
 6.740E-01, 1.094E+00,
 6.750E-01, 1.092E+00,
 6.760E-01, 1.091E+00,
 6.770E-01, 1.089E+00,
 6.780E-01, 1.088E+00,
 6.790E-01, 1.086E+00,
 6.800E-01, 1.085E+00,
 6.810E-01, 1.083E+00,
 6.820E-01, 1.082E+00,
 6.830E-01, 1.080E+00,
 6.840E-01, 1.079E+00,
 6.850E-01, 1.077E+00,
 6.860E-01, 1.076E+00,
 6.870E-01, 1.074E+00,
 6.880E-01, 1.073E+00,
 6.890E-01, 1.071E+00,
 6.900E-01, 1.070E+00,
 6.910E-01, 1.068E+00,
 6.920E-01, 1.067E+00,
 6.930E-01, 1.065E+00,
 6.940E-01, 1.064E+00,
 6.950E-01, 1.062E+00,
 6.960E-01, 1.061E+00,
 6.970E-01, 1.059E+00,
 6.980E-01, 1.058E+00,
 6.990E-01, 1.056E+00,
 7.000E-01, 1.055E+00,
 7.010E-01, 1.053E+00,
 7.020E-01, 1.052E+00,
 7.030E-01, 1.050E+00,
 7.040E-01, 1.049E+00,
 7.050E-01, 1.047E+00,
 7.060E-01, 1.046E+00,
 7.070E-01, 1.044E+00,
 7.080E-01, 1.043E+00,
 7.090E-01, 1.041E+00,
 7.100E-01, 1.040E+00,
 7.110E-01, 1.039E+00,
 7.120E-01, 1.037E+00,
 7.130E-01, 1.036E+00,
 7.140E-01, 1.034E+00,
 7.150E-01, 1.033E+00,
 7.160E-01, 1.031E+00,
 7.170E-01, 1.030E+00,
 7.180E-01, 1.028E+00,
 7.190E-01, 1.027E+00,
 7.200E-01, 1.026E+00,
 7.210E-01, 1.024E+00,
 7.220E-01, 1.023E+00,
 7.230E-01, 1.021E+00,
 7.240E-01, 1.020E+00,
 7.250E-01, 1.018E+00,
 7.260E-01, 1.017E+00,
 7.270E-01, 1.016E+00,
 7.280E-01, 1.014E+00,
 7.290E-01, 1.013E+00,
 7.300E-01, 1.011E+00,
 7.310E-01, 1.010E+00,
 7.320E-01, 1.009E+00,
 7.330E-01, 1.007E+00,
 7.340E-01, 1.006E+00,
 7.350E-01, 1.004E+00,
 7.360E-01, 1.003E+00,
 7.370E-01, 1.002E+00,
 7.380E-01, 1.000E+00,
 7.390E-01, 9.988E-01,
 7.400E-01, 9.974E-01,
 7.410E-01, 9.960E-01,
 7.420E-01, 9.946E-01,
 7.430E-01, 9.932E-01,
 7.440E-01, 9.918E-01,
 7.450E-01, 9.904E-01,
